Customer_ID,Visits,Stay_Time,Cart_Items,Purchase_Amount
1291,48,113.6,22,2351
1292,16,47.1,10,1225
1293,3,3.2,2,0
1294,20,63.7,9,1286
1295,24,60.4,11,1254
1296,33,87.6,16,1800
1297,24,49.6,9,1005
1298,11,21.1,7,702
1299,49,129.2,22,2566
1300,8,21.6,3,241
1301,36,100.2,16,2044
1302,38,97.4,18,2082
1303,40,100.7,17,2032
1304,20,58.6,8,949
1305,35,92.6,18,1823
1306,48,119.0,21,2185
1307,25,57.0,10,1180
1308,35,75.6,18,1582
1309,25,60.3,14,1181
1310,29,66.6,14,1556
1311,18,58.0,10,1222
1312,46,111.7,21,2252
1313,18,41.6,7,800
1314,2,1.0,0,0
1315,35,86.2,16,1845
1316,16,36.7,9,775
1317,41,111.2,20,2267
1318,36,90.8,15,1516
1319,33,82.5,15,1762
1320,4,9.3,1,81
1321,33,86.4,15,1574
1322,14,32.7,7,673
1323,21,55.8,10,1060
1324,48,128.1,21,2589
1325,20,52.3,9,990
1326,8,18.8,6,631
1327,7,12.7,6,455
1328,3,6.1,3,297
1329,17,45.3,8,903
1330,33,74.8,15,1700
1331,48,124.2,22,2364
1332,12,31.0,4,563
1333,22,54.3,8,971
1334,22,51.7,9,1165
1335,46,112.6,18,2311
1336,30,78.0,14,1565
1337,38,94.4,17,1768
1338,38,92.5,17,1917
1339,45,114.8,19,2066
1340,8,22.5,5,658
1341,27,61.3,10,1137
1342,27,70.4,13,1426
1343,34,97.5,16,1822
1344,21,54.8,12,1107
1345,30,66.5,12,1411
1346,33,83.4,15,1659
1347,28,60.8,14,1364
1348,47,133.3,18,2309
1349,33,93.7,16,1929
1350,5,9.2,4,385
1351,48,108.8,22,2274
1352,19,43.1,11,1139
1353,4,9.1,5,323
1354,35,78.7,17,1787
1355,49,122.2,19,2158
1356,17,41.6,6,804
1357,44,110.6,17,2065
1358,28,71.1,14,1499
1359,30,70.2,12,1393
1360,29,68.2,13,1416
1361,46,115.2,22,2434
1362,6,11.8,4,265
1363,35,92.0,14,1791
1364,41,102.7,18,2165
1365,37,101.8,14,1710
1366,24,64.1,12,1231
1367,29,78.0,13,1447
1368,49,123.2,22,2358
1369,46,115.8,21,2286
1370,31,86.2,13,1722
1371,35,85.6,14,1802
1372,33,85.2,17,1798
1373,21,51.2,8,941
1374,32,78.7,16,1744
1375,23,51.7,9,788
1376,33,78.8,16,1559
1377,3,2.9,3,0
1378,18,48.0,9,874
1379,25,67.7,11,1230
1380,42,104.5,20,2302
1381,31,78.6,16,1387
1382,3,6.7,5,264
1383,40,95.9,19,2068
1384,46,119.3,22,2462
1385,24,63.3,11,1400
1386,50,115.5,23,2437
1387,32,78.6,12,1520
1388,47,113.1,22,2163
1389,22,53.0,12,1077
1390,23,54.1,9,876
1391,2,4.8,4,294
1392,27,65.9,10,1275
1393,42,103.2,19,2125
1394,2,10.5,2,128
1395,26,67.8,10,1166
1396,17,39.0,7,803
1397,40,97.2,16,1819
1398,33,85.0,17,1682
1399,9,25.0,6,518
1400,43,104.5,20,2087
1401,48,118.8,19,2194
1402,39,106.7,17,1923
1403,29,69.6,12,1419
1404,42,114.6,19,2385
1405,26,70.5,14,1472
1406,35,96.1,18,1985
1407,50,121.9,22,2505
1408,25,61.7,13,1361
1409,24,57.8,9,1013
1410,13,38.1,9,1034
1411,7,14.7,4,280
1412,36,93.7,17,1953
1413,45,115.9,21,2388
1414,20,49.8,11,896
1415,1,9.0,3,207
1416,8,20.5,6,522
1417,46,119.2,22,2433
1418,16,37.5,8,840
1419,14,31.4,8,812
1420,12,33.7,5,628
1421,23,59.7,10,1201
1422,15,38.7,8,820
1423,28,68.3,11,1212
1424,34,92.7,13,1701
1425,2,1.0,0,86
1426,32,74.1,13,1585
1427,23,62.2,9,1205
1428,22,59.3,12,1385
1429,25,64.3,13,1398
1430,22,53.6,9,1134
1431,22,57.5,10,1233
1432,49,131.1,21,2495
1433,42,117.6,19,2338
1434,6,6.7,3,121
1435,15,35.4,6,729
1436,43,105.1,17,2083
1437,37,100.6,18,2122
1438,33,70.1,17,1688
1439,8,22.6,3,512
1440,44,108.7,19,2149
1441,44,118.2,19,2238
1442,5,20.0,6,482
1443,39,99.3,18,2028
1444,4,2.1,1,0
1445,6,12.1,6,548
1446,45,110.2,22,2316
1447,32,73.4,12,1378
1448,30,80.8,12,1256
1449,47,110.2,20,2219
1450,35,97.3,17,1913
1451,40,109.8,19,2083
1452,16,38.1,6,659
1453,13,34.1,6,677
1454,50,124.6,24,2516
1455,42,109.5,20,2271
1456,30,81.4,12,1441
1457,19,48.8,8,960
1458,17,44.8,8,1016
1459,19,44.4,7,844
1460,28,72.2,11,1396
1461,26,65.8,14,1449
1462,37,87.9,14,1686
1463,26,64.9,10,1222
1464,23,55.6,9,1014
1465,9,19.5,7,563
1466,12,24.3,6,532
1467,1,2.8,2,0
1468,1,1.0,0,0
1469,47,115.1,22,2226
1470,34,90.4,15,1619
1471,32,83.2,14,1614
1472,48,115.1,21,2286
1473,25,64.3,14,1382
1474,40,100.7,20,2173
1475,45,121.0,18,2293
1476,1,9.4,3,278
1477,16,32.3,8,892
1478,39,101.8,18,1892
1479,5,18.8,6,506
1480,22,57.8,12,1175
1481,29,70.8,15,1668
1482,3,19.6,4,193
1483,12,33.3,8,542
1484,26,74.9,10,1379
1485,16,46.8,10,1123
1486,37,94.8,15,1890
1487,22,52.1,11,1040
1488,29,72.4,12,1559
1489,14,33.9,9,688
1490,28,63.9,11,1392
1491,5,15.8,4,259
1492,47,125.3,22,2458
1493,49,121.0,19,2371
1494,30,85.8,15,1558
1495,46,107.2,19,2288
1496,5,17.8,3,312
1497,12,38.4,5,699
1498,16,39.0,9,988
1499,26,64.1,10,1139
1500,26,70.2,13,1533
1501,48,122.5,20,2534
1502,21,42.5,12,984
1503,39,93.3,17,2021
1504,36,89.9,17,1668
1505,33,75.7,16,1666
1506,30,72.6,12,1288
1507,37,85.8,14,1753
1508,23,55.6,12,1293
1509,10,23.3,5,712
1510,5,14.3,4,493
1511,36,89.5,14,1687
1512,34,87.5,14,1571
1513,31,79.4,16,1729
1514,10,30.2,4,535
1515,19,51.9,8,1137
1516,32,83.8,13,1374
1517,1,18.0,2,525
1518,5,14.2,4,404
1519,45,125.5,22,2414
1520,4,12.1,2,0
1521,16,39.6,7,919
1522,24,58.1,11,1204
1523,16,47.5,6,664
1524,2,13.2,0,129
1525,49,125.5,22,2599
1526,28,75.7,13,1542
1527,32,73.6,15,1542
1528,27,59.8,12,1387
1529,20,56.2,12,1288
1530,24,59.4,10,1244
1531,12,33.7,8,723
1532,50,121.4,22,2396
1533,35,95.8,15,1654
1534,33,74.8,13,1456
1535,33,75.6,13,1585
1536,43,114.7,20,2256
1537,37,79.5,16,1717
1538,12,31.9,6,763
1539,3,7.0,1,165
1540,1,1.0,4,239
1541,33,81.5,14,1472
1542,40,95.8,20,2016
1543,10,32.7,8,925
1544,43,116.5,17,2173
1545,44,106.6,17,2233
1546,29,73.9,11,1309
1547,13,25.9,8,693
1548,12,35.4,8,746
1549,31,82.7,14,1682
1550,46,113.5,19,2306
1551,2,5.1,3,0
1552,50,124.5,22,2588
1553,35,79.4,18,1761
1554,23,65.2,9,1168
1555,17,38.7,10,738
1556,26,61.2,11,1293
1557,8,19.2,6,518
1558,29,77.5,14,1552
1559,26,62.0,11,1220
1560,10,15.2,6,449
1561,26,60.6,12,1243
1562,34,87.1,16,1712
1563,41,113.4,19,2240
1564,7,11.2,2,272
1565,4,3.5,3,100
1566,50,117.4,21,2314
1567,45,104.3,20,2131
1568,11,33.5,4,582
1569,29,80.0,14,1576
1570,36,90.9,17,1921
1571,25,60.2,10,1006
1572,21,61.5,9,994
1573,36,90.9,17,1874
1574,10,30.4,8,665
1575,37,89.9,17,1932
1576,9,22.7,7,704
1577,24,53.8,9,1074
1578,35,90.6,14,1610
1579,49,123.5,22,2576
1580,35,83.0,16,1736
1581,48,115.6,23,2273
1582,36,98.1,15,1712
1583,18,54.9,10,1259
1584,49,121.4,20,2492
1585,39,97.8,18,1732
1586,32,82.0,14,1478
1587,24,60.7,11,1337
1588,23,49.1,11,1082
1589,32,82.1,14,1685
1590,37,82.1,14,1608
1591,12,26.3,4,561
1592,49,125.0,23,2535
1593,13,35.5,6,652
1594,23,53.4,12,1287
1595,25,60.2,13,1327
1596,35,84.5,14,1709
1597,41,102.0,19,2094
1598,30,74.9,12,1389
1599,17,45.8,10,1160
1600,49,119.9,20,2374
1601,20,51.9,12,1126
1602,48,122.5,21,2543
1603,25,63.5,12,1169
1604,22,53.7,10,1318
1605,13,33.4,9,787
1606,19,51.3,10,938
1607,49,126.7,20,2610
1608,36,99.1,16,1862
1609,12,25.0,6,594
1610,41,100.3,18,2085
1611,19,39.4,8,951
1612,12,34.7,6,715
1613,9,20.8,4,365
1614,7,18.5,4,424
1615,28,67.0,15,1436
1616,14,33.4,9,830
1617,31,83.6,13,1751
1618,19,51.0,11,1182
1619,47,116.9,19,2278
1620,16,43.8,10,1049
1621,5,16.4,6,548
1622,35,85.5,15,1593
1623,12,22.7,7,591
1624,25,58.0,14,1582
1625,21,45.8,10,1120
1626,36,95.8,17,1864
1627,23,64.2,10,1159
1628,16,47.9,9,916
1629,39,87.4,15,1810
1630,45,117.9,18,2385
1631,42,116.1,20,2350
1632,39,103.1,19,2107
1633,14,24.2,7,561
1634,31,86.3,15,1744
1635,5,12.7,2,160
1636,35,86.3,18,1652
1637,23,59.8,12,1420
1638,29,67.3,15,1381
1639,43,107.5,21,2202
1640,11,35.6,4,672
1641,18,48.1,7,1035
1642,47,117.8,22,2429
1643,12,30.4,5,471
1644,9,16.6,7,483
1645,10,24.3,8,583
1646,44,101.8,19,2073
1647,17,47.6,8,1054
1648,38,84.1,17,1520
1649,7,21.8,3,355
1650,46,119.9,19,2245
1651,13,39.1,9,748
1652,40,100.4,18,2073
1653,42,109.6,17,1938
1654,9,21.7,3,265
1655,50,119.1,24,2593
1656,27,75.2,13,1636
1657,2,4.5,4,226
1658,5,5.5,5,168
1659,29,70.2,13,1356
1660,37,90.4,17,1950
1661,38,97.3,17,1944
1662,19,59.2,7,1015
1663,8,22.6,6,572
1664,48,121.0,23,2483
1665,45,124.8,20,2551
1666,1,7.4,4,0
1667,22,56.3,9,993
1668,17,40.1,8,702
1669,7,19.1,5,399
1670,25,62.2,12,1176
1671,45,113.0,22,2367
1672,4,16.6,1,245
1673,36,87.3,16,1659
1674,6,17.6,5,494
1675,31,82.2,13,1723
1676,19,44.2,7,881
1677,44,105.9,18,1826
1678,39,96.7,17,2124
1679,27,65.2,14,1486
1680,10,30.8,8,924
1681,26,60.0,13,1413
1682,19,47.8,11,1198
1683,39,110.2,15,2018
1684,3,9.6,5,313
1685,45,115.4,21,2367
1686,13,38.3,7,703
1687,50,122.7,22,2505
1688,28,64.6,15,1187
1689,20,50.9,9,1019
1690,28,71.3,13,1575
1691,8,11.9,7,467
1692,41,104.4,19,2280
1693,39,102.8,19,2062
1694,1,1.0,2,202
1695,3,9.7,4,208
1696,13,37.0,9,944
1697,28,72.9,11,1393
1698,49,125.9,22,2478
1699,25,61.3,10,927
1700,33,76.9,14,1526
1701,38,92.8,18,1944
1702,6,12.1,2,317
1703,44,109.6,19,2326
1704,45,118.0,20,2519
1705,32,73.4,13,1590
1706,45,113.2,21,2247
1707,47,112.2,21,2260
1708,21,48.8,11,1154
1709,16,42.8,7,880
1710,21,46.6,11,1216
1711,11,31.2,6,891
1712,37,85.7,14,1885
1713,36,93.3,16,1989
1714,35,79.8,16,1729
1715,19,44.4,7,982
1716,20,59.5,10,1329
1717,18,53.5,8,987
1718,47,115.4,18,2141
1719,41,104.4,18,1986
1720,49,128.5,23,2489
1721,14,38.4,7,637
1722,15,36.1,7,773
1723,31,73.8,15,1460
1724,1,6.8,2,93
1725,3,13.2,4,407
1726,16,48.6,10,1051
1727,23,49.1,11,1126
1728,11,21.2,4,571
1729,12,35.8,7,831
1730,10,17.2,8,718
1731,32,86.2,12,1582
1732,16,38.9,6,898
1733,8,17.4,3,379
1734,38,96.0,15,1844
1735,12,23.3,6,695
1736,24,64.1,11,1177
1737,28,78.4,13,1728
1738,8,24.4,7,579
1739,28,68.8,15,1378
1740,36,82.3,18,1863
1741,26,57.5,11,1147
1742,8,13.4,7,677
1743,50,124.9,22,2445
1744,28,70.6,13,1463
1745,28,74.3,12,1289
1746,37,83.5,15,1758
1747,41,109.1,20,2130
1748,36,93.5,17,1955
1749,27,65.9,11,1242
1750,17,36.6,6,503
1751,9,28.7,5,583
1752,33,81.0,13,1565
1753,20,49.9,10,1136
1754,13,34.4,7,883
1755,28,65.4,12,1516
1756,48,118.6,20,2409
1757,29,76.8,11,1444
1758,13,36.3,7,608
1759,46,118.9,18,2256
1760,35,81.7,17,1767
1761,6,13.8,2,235
1762,18,43.0,11,1074
1763,5,14.6,2,377
1764,47,119.2,22,2338
1765,25,63.3,14,1305
1766,2,17.3,4,374
1767,10,23.5,7,536
1768,30,73.0,12,1251
1769,50,119.2,20,2230
1770,45,104.8,21,2079
1771,5,6.4,4,377
1772,33,78.9,14,1747
1773,1,9.1,0,0
1774,18,45.2,8,956
1775,32,81.0,15,1733
1776,47,117.0,20,2154
1777,49,124.3,21,2453
1778,11,34.5,6,937
1779,21,42.5,11,1073
1780,26,71.1,14,1458
1781,25,49.9,14,1173
1782,22,55.1,9,864
1783,27,78.5,14,1618
1784,49,125.9,23,2740
1785,13,34.4,7,646
1786,33,92.5,15,1591
1787,34,81.5,14,1541
1788,41,104.7,16,2064
1789,35,90.4,15,1716
1790,1,1.0,1,0
1791,21,50.3,11,1100
1792,48,117.3,22,2420
1793,6,15.4,3,181
1794,28,72.7,12,1391
1795,17,43.1,7,782
1796,5,16.0,6,398
1797,31,67.7,15,1385
1798,5,11.4,3,366
1799,38,89.9,17,1779
1800,3,9.0,3,43
1801,23,58.9,13,1318
1802,37,91.9,18,1985
1803,37,95.1,14,1691
1804,10,30.0,4,483
1805,10,24.7,4,411
1806,19,42.2,11,967
1807,17,34.6,10,975
1808,21,52.7,12,1160
1809,14,36.2,7,833
1810,9,17.7,7,429
1811,46,118.6,20,2285
1812,1,1.0,0,107
1813,45,104.2,18,1980
1814,13,38.8,5,791
1815,4,15.7,2,215
1816,1,1.0,1,24
1817,49,119.7,22,2593
1818,40,97.0,19,1975
1819,32,88.2,15,1747
1820,34,84.5,14,1705
1821,28,62.5,12,1312
1822,31,81.9,15,1683
1823,8,13.8,6,430
1824,39,96.2,19,1879
1825,26,61.2,13,1353
1826,34,82.2,17,1678
1827,3,12.2,3,0
1828,50,132.6,21,2673
1829,12,23.6,7,417
1830,1,5.6,1,0
1831,44,106.3,18,2044
1832,5,9.0,3,229
1833,30,77.5,14,1468
1834,30,69.9,12,1397
1835,17,44.9,9,949
1836,48,123.7,19,2446
1837,47,115.3,18,2119
1838,23,64.1,9,1340
1839,15,31.1,7,755
1840,37,99.2,18,2009
1841,21,42.8,9,900
1842,14,48.5,6,821
1843,2,3.0,0,11
1844,11,21.7,5,502
1845,39,96.3,15,1810
1846,38,89.8,19,1868
1847,34,86.9,16,1780
1848,38,101.8,15,1813
1849,50,120.0,24,2552
1850,34,87.9,16,1752
1851,18,37.3,9,922
1852,30,80.2,12,1600
1853,15,39.6,6,843
1854,27,72.9,12,1446
1855,34,84.4,15,1731
1856,38,92.8,15,1756
1857,33,86.6,15,1781
1858,24,53.5,10,1170
1859,15,28.8,9,593
1860,30,75.0,15,1612
1861,42,103.1,19,2228
1862,17,45.3,7,822
1863,5,18.0,4,338
1864,29,75.2,15,1534
1865,4,15.1,3,165
1866,10,26.6,4,511
1867,17,45.0,9,947
1868,10,24.4,6,582
1869,17,44.8,10,1029
1870,20,50.8,8,890
1871,24,61.6,10,1216
1872,5,11.7,3,319
1873,34,89.0,17,1784
1874,6,11.4,2,269
1875,2,4.9,3,201
1876,13,39.1,7,720
1877,43,102.8,17,2026
1878,43,96.7,18,1941
1879,48,121.8,23,2566
1880,11,26.2,8,650
1881,47,122.6,20,2241
1882,23,56.8,13,1293
1883,16,37.0,10,916
1884,31,77.1,12,1357
1885,11,33.0,7,785
1886,16,42.9,8,944
1887,8,7.8,3,141
1888,4,10.9,4,245
1889,40,101.2,16,1919
1890,4,9.9,1,88
1891,25,59.4,14,1407
1892,3,13.5,4,356
1893,32,86.2,14,1555
1894,3,1.0,3,64
1895,27,63.5,13,1465
1896,29,71.8,15,1689
1897,32,84.7,13,1655
1898,50,125.2,20,2380
1899,19,44.1,11,979
1900,21,56.0,11,1222
1901,5,11.4,2,234
1902,18,44.4,9,776
1903,28,69.9,12,1481
1904,42,107.9,18,2239
1905,22,53.5,11,1210
1906,21,55.9,8,922
1907,6,14.6,5,336
1908,1,1.0,0,0
1909,5,12.3,6,577
1910,41,97.4,17,1898
1911,12,30.2,8,955
1912,26,69.1,14,1655
1913,46,109.6,21,2170
1914,34,86.8,14,1601
1915,49,118.4,19,2321
1916,14,36.0,5,481
1917,26,69.3,12,1327
1918,45,101.9,18,1978
1919,27,61.9,13,1513
1920,9,20.7,7,578
1921,26,66.6,14,1400
1922,47,116.7,22,2326
1923,22,54.8,9,1151
1924,47,127.7,18,2292
1925,30,68.9,15,1497
1926,43,113.2,18,2104
1927,48,118.3,21,2212
1928,17,45.2,9,848
1929,26,75.6,13,1442
1930,36,93.4,17,1859
1931,1,4.4,4,210
1932,8,28.0,6,597
1933,49,128.1,19,2343
1934,35,83.5,17,1901
1935,15,39.0,10,1012
1936,47,108.9,21,2238
1937,22,52.3,10,1103
1938,14,36.6,7,716
1939,26,62.0,14,1089
1940,28,71.4,11,1353
1941,23,57.4,9,1124
1942,14,37.7,6,560
1943,24,57.9,13,1329
1944,2,1.0,3,0
1945,45,119.9,22,2462
1946,26,62.5,11,1220
1947,14,38.3,9,989
1948,7,24.7,6,588
1949,3,8.3,2,0
1950,47,113.2,18,2277
1951,23,56.6,12,1107
1952,46,120.1,19,2222
1953,43,108.5,19,2202
1954,47,111.5,18,2111
1955,45,115.5,20,2261
1956,18,48.8,7,1029
1957,38,93.2,18,1897
1958,35,90.6,17,1754
1959,15,38.7,10,831
1960,25,61.5,12,1496
1961,37,86.0,14,1644
1962,28,75.4,14,1398
1963,10,28.8,5,393
1964,39,100.4,18,1952
1965,17,50.2,7,898
1966,39,102.2,15,1996
1967,22,58.4,11,1281
1968,26,53.9,13,1231
1969,44,116.0,17,2111
1970,25,62.9,13,1373
1971,17,44.1,7,668
1972,13,34.1,8,967
1973,20,53.9,10,1161
1974,25,68.1,14,1534
1975,4,13.2,2,140
1976,10,27.4,6,726
1977,3,8.7,1,102
1978,41,85.7,17,1698
1979,45,111.1,22,2318
1980,18,40.3,11,972
1981,47,123.6,18,2184
1982,36,93.1,14,1657
1983,47,115.2,19,2140
1984,22,53.2,11,1037
1985,34,83.0,13,1542
1986,47,115.4,21,2191
1987,8,12.8,5,309
1988,40,91.7,20,2104
1989,49,122.6,22,2544
1990,44,115.4,21,2224
1991,19,44.8,10,1083
1992,42,106.5,18,1891
1993,41,106.2,16,2236
1994,37,87.5,16,1900
1995,6,14.9,2,212
1996,26,61.7,10,1228
1997,34,93.0,17,1741
1998,45,120.3,20,2349
1999,6,10.0,5,327
2000,37,94.4,16,1769
