company,location,layoff_count,date,pct_workforce,industry,source_url,stage,raised_mm,country,is_ai_company
CTO.ai,Vancouver Non-U.S.,30.0,2020-03-20,50%,Infrastructu…,LinkedIn,Seed, $7.00 ,Canada,True
The Guild,Austin,38.0,2020-03-23,22%,Travel,https://www.americaninno.co m/austin/inno-news/report- austin-startup-the-guild-lays- off-38-people/,Series B, $36.00 ,United States,False
Compass,New York City,375.0,2020-03-23,15%,Real Estate,https://layoffs.fyi/2020/04/14/ compass-laid-off-375- employees-showings-have- dropped-by-60/,Series G," $1,600.00 ",United States,False
Convene,New York City,150.0,2020-03-23,18%,Real Estate,https://layoffs.fyi/2020/04/08/ convene-laid-off-150- employees/,Series D, $280.00 ,United States,False
Leafly,Seattle,91.0,2020-03-23,50%,Retail,https://www.geekwire.com/20 20/leafly-lays-off-additional- 91-employees-eliminating-50- percent-staff-2020/,Acquired, $2.00 ,United States,False
Drip,Salt Lake City,20.0,2020-03-23,,Marketing,LinkedIn,Acquired, $0.00 ,United States,False
GrayMeta,Los Angeles,20.0,2020-03-23,40%,Data,LinkedIn,Unknown, $7.00 ,United States,True
Triplebyte,SF Bay Area,15.0,2020-03-23,17%,Recruiting,https://layoffs.fyi/2020/03/26/ triplebyte-lays-off-15-talent- managers-and-technical- writers/,Series B, $48.00 ,United States,False
Ladder Life,SF Bay Area,13.0,2020-03-23,25%,Finance,LinkedIn,Series C, $94.00 ,United States,False
Cabin,SF Bay Area,,2020-03-23,20%,Travel,https://www.theinformation.co m/articles/layoffs-accelerate- across-silicon-valley-startups,Seed, $3.00 ,United States,False
Eight Sleep,New York City,,2020-03-23,20%,Retail,https://www.theinformation.co m/articles/layoffs-accelerate- across-silicon-valley-startups,Series C, $70.00 ,United States,False
Zwift,Los Angeles,,2020-03-23,,Fitness,https://www.dcrainmaker.com /2020/03/zwift-lays-off- employees-in-move-to-focus- on-developing-new- hardware.html,Series B, $164.00 ,United States,False
Sonder,SF Bay Area,400.0,2020-03-24,33%,Travel,https://layoffs.fyi/2020/03/27/ sonder-lays-off-400- employees-bookings-down- 20/,Series D, $359.00 ,United States,False
Takl,Nashville,130.0,2020-03-24,,Consumer,https://www.bizjournals.com/n ashville/news/2020/03/24/hou rs-before-nashville-company- laid-off-staff-it.html,Unknown,,United States,False
Zeus Living,SF Bay Area,80.0,2020-03-24,30%,Real Estate,https://layoffs.fyi/2020/03/30/ zeus-living-laid-off-80- employees,Series B, $79.00 ,United States,False
Foodsby,Minneapolis,87.0,2020-03-24,67%,Food,https://www.americaninno.co m/minne/inno-news- minne/layoffs-at-foodsby- after-drop-in-business-from- coronavirus/,Series B, $20.00 ,United States,False
Flowr,Toronto Non-U.S.,,2020-03-24,25%,Retail,https://www.benzinga.com/ma rkets/cannabis/20/03/1565074 0/cannabis-startups-flowr- and-leafly-cite-covid-19-fears- for-layoffs,Unknown,,Canada,False
Peerfit,Tampa Bay,,2020-03-24,40%,HR,https://www.americaninno.co m/tampabay/newsletters/tech -org-local-startup-team-up- for-virtual-event-peerfit- layoffs-newsletter/,Unknown, $47.00 ,United States,False
SpotHero,Chicago,,2020-03-24,,Transportat…,https://americaninno.com/chic ago/inno-news- chicago/layoffs-at-spothero- as-demand-drops-due-to- coronavirus/,Series D, $117.00 ,United States,False
TravelBank,SF Bay Area,20.0,2020-03-24,,Travel,https://www.teamblind.com/p ost/TravelBank-had-layoffs- t0kHoLwb,Series B, $35.00 ,United States,False
WanderJaunt,SF Bay Area,56.0,2020-03-25,23%,Travel,https://www.nytimes.com/202 0/04/01/technology/virus- start-ups-pummeled-layoffs- unwinding.html,Series B, $26.00 ,United States,False
TripActions,SF Bay Area,300.0,2020-03-25,25%,Travel,https://layoffs.fyi/2020/03/31/ tripactions-laid-off-300- employees-via-a-group- zoom-call/,Series D, $981.00 ,United States,False
Lyric,SF Bay Area,100.0,2020-03-25,,Real Estate,https://therealdeal.com/2020/ 03/25/another-bloodbath- lyric-to-slash-jobs-drop-units/,Series B, $179.00 ,United States,False
Rangle,Toronto Non-U.S.,78.0,2020-03-25,30%,Product,https://betakit.com/rangle- temporarily-lays-off-78- employees-as-financial- pressures-from-pandemic-hit- cdntech/,Unknown,,Canada,False
O'Reilly Media,SF Bay Area,75.0,2020-03-25,15%,Media,https://www.businessinsider.c om/oreilly-media-layoffs- events-business-2020-3,Unknown,,United States,False
OutboundEngine,Austin,52.0,2020-03-25,28%,Marketing,https://www.bizjournals.com/a ustin/news/2020/03/25/outbo und-engine-lays-off-dozens- amid-coronavirus.html,Series C, $48.00 ,United States,False
Universal Standard,New York City,,2020-03-25,,Retail,https://www.modernretail.co/s tartups/coronavirus-fallout- tracking-the-layoffs- furloughs-and-cuts-at-retail- startups/,Series A, $8.00 ,United States,False
Overtime,New York City,30.0,2020-03-25,23%,Media,https://frntofficesport.com/ov ertime-coronavirus-job-cuts/,Series B, $35.00 ,United States,False
Jama,Portland,12.0,2020-03-25,5%,Product,https://www.oregonlive.com/si licon-forest/2020/03/jama- software-will-lay-off-a-dozen- but-says-business-is-solid- during-coronavirus- outbreak.html,Unknown, $233.00 ,United States,False
Element Analytics,SF Bay Area,10.0,2020-03-25,,Data,Company executive,Series A, $22.00 ,United States,True
Clever Real Estate,St. Louis,,2020-03-25,,Real Estate,https://www.bizjournals.com/s tlouis/news/2020/03/25/this- sucks-st-louis-real-estate- startup-lays-off.html,Series A, $5.00 ,United States,False
Clutter,Los Angeles,,2020-03-25,30%,Consumer,https://www.teamblind.com/p ost/Corona-based-layoffs- tracker-sHaHz6KO,Series D, $296.00 ,United States,False
Divvy Homes,SF Bay Area,,2020-03-25,8%,Real Estate,https://www.teamblind.com/p ost/Corona-based-layoffs- tracker-sHaHz6KO,Series B, $180.00 ,United States,False
Wonderschool,SF Bay Area,50.0,2020-03-25,75%,Education,https://layoffs.fyi/2020/03/26/ wonderschool-lays-off-75-of- employees/,Series A, $24.00 ,United States,False
B8ta,SF Bay Area,250.0,2020-03-26,50%,Retail,https://www.retaildive.com/ne ws/b8ta-announces- corporate-layoffs-and-store- associate-furloughs/574955/,Series C, $88.00 ,United States,False
Fareportal,Gurugram Non-U.S.,200.0,2020-03-26,,Travel,https://hrnxt.com/news/exclus ive-travel-tech-firm- fareportal-lays-off- employees/16389/2020/03/26 /,Unknown,,India,False
Ecobee,Toronto Non-U.S.,47.0,2020-03-26,10%,Energy,https://layoffs.fyi/2020/04/10/ ecobee-laid-off-47- employees/,Series C, $149.00 ,Canada,False
Puppet,Portland,50.0,2020-03-26,10%,Infrastructu…,https://www.oregonlive.com/si licon- forest/2020/03/portland- marketing-technology- startup-opal-lays-off-20- amid-coronavirus- outbreak.html,Series F, $149.00 ,United States,False
Peerspace,SF Bay Area,41.0,2020-03-26,75%,Real Estate,https://www.peerspace.com/bl og/ceo-letter-to-the- peerspace-community/,Series B, $34.00 ,United States,False
GoSpotCheck,Denver,23.0,2020-03-26,20%,Retail,https://businessden.com/2020 /03/26/software-firm- gospotcheck-cuts-23- employees-in-bid-to-extend- runway/,Series B, $47.00 ,United States,False
Consider.co,SF Bay Area,13.0,2020-03-26,100%,Other,https://www.consider.co/,Seed, $5.00 ,United States,False
Nativo,Los Angeles,,2020-03-26,40%,Marketing,LinkedIn,Series B, $35.00 ,United States,False
Passport,Charlotte,44.0,2020-03-26,,Transportat…,https://layoffs.fyi/2020/04/09/ passport-lays-off-employees- and-furloughs-others/,Series D, $123.00 ,United States,False
Zipcar,Boston,100.0,2020-03-27,20%,Transportat…,https://layoffs.fyi/2020/04/03/ zipcar-laid-off-20-of-staff- amid-widescale-travel- disruption,Acquired, $107.00 ,United States,False
Bird,Los Angeles,406.0,2020-03-27,30%,Transportat…,https://layoffs.fyi/2020/03/30/ bird-lays-off-over-400- employees,Series D, $623.00 ,United States,False
HOOQ,Singapore Non-U.S.,250.0,2020-03-27,100%,Consumer,https://techcrunch.com/2020/ 03/27/streaming-service- hooq-files-for-liquidation/,Unknown, $95.00 ,Singapore,False
Everlane,SF Bay Area,227.0,2020-03-27,,Retail,https://www.vice.com/en_ca/a rticle/akw9ej/everlane- reassures-workers-then-lays- off-and-furloughs-hundreds,Unknown, $18.00 ,United States,False
DataRobot,Boston,200.0,2020-03-27,,Data,https://www.americaninno.co m/boston/inno-news- boston/datarobot-cuts- workforce-as-coronavirus- roils-the-startup-economy/,Series E, $430.00 ,United States,True
Restaurant365,Los Angeles,175.0,2020-03-27,,Food,https://news.crunchbase.com/ news/restaurant365-confirms- coronavirus-related-layoffs/,Series C, $127.00 ,United States,False
Blueground,New York City,130.0,2020-03-27,25%,Real Estate,https://layoffs.fyi/2020/04/08/ blueground-laid-off-130- employees/,Series B, $77.00 ,United States,False
Knotel,New York City,127.0,2020-03-27,30%,Real Estate,https://commercialobserver.co m/2020/03/knotel-cuts-half- of-its-staff-amid-coronavirus- pandemic/,Series C, $560.00 ,United States,False
Getaround,SF Bay Area,100.0,2020-03-27,25%,Transportat…,https://www.bizjournals.com/s anfrancisco/news/2020/03/27/ getaround-issues-another- layoff-round-as-it-seeks.html,Series D, $403.00 ,United States,False
Mogo,Vancouver Non-U.S.,78.0,2020-03-27,30%,Finance,https://betakit.com/mogo- lays-off-30-percent-of-staff- makes-company-wide-cuts- citing-covid-19-uncertainty/,Post-IPO, $201.00 ,Canada,False
OneWeb,London Non-U.S.,451.0,2020-03-27,85%,Aerospace,https://spacenews.com/onewe b-files-for-chapter-11- bankruptcy/,Unknown," $3,000.00 ",United Kingdo…,False
Raken,San Diego,60.0,2020-03-27,,Construction,LinkedIn,Series A, $12.00 ,United States,False
Bench,Vancouver Non-U.S.,47.0,2020-03-27,10%,Finance,https://betakit.com/bench-re- hires-workers-as-sales- rebound-following-shift-to- helping-us-businesses-with- covid-relief/,Series B, $49.00 ,Canada,False
Loft,Sao Paulo Non-U.S.,47.0,2020-03-27,,Real Estate,https://br.financas.yahoo.com/ noticias/startup-loft-demitiu- 47-antes-165500949.html,Series C, $263.00 ,Brazil,False
Oh My Green,SF Bay Area,40.0,2020-03-27,,Food,https://finance.yahoo.com/ne ws/tech-startups-ask-workers- trade-110029332.html,Seed, $20.00 ,United States,False
Bevi,Boston,30.0,2020-03-27,20%,Food,https://www.americaninno.co m/boston/inno-news- boston/boston-hospitality- startups-downsize-as-the- coronavirus-disruption- continues/,Series C, $60.00 ,United States,False
Textio,Seattle,30.0,2020-03-27,20%,Recruiting,https://www.geekwire.com/20 20/textio-lays-off-30-amid- covid-19-seattle-startup- hopes-ai-writing-tech-will- aid-job-seekers/,Unknown, $41.00 ,United States,False
Opal,Portland,20.0,2020-03-27,,Marketing,https://www.oregonlive.com/si licon- forest/2020/03/portland- marketing-technology- startup-opal-lays-off-20- amid-coronavirus- outbreak.html,Series B, $25.00 ,United States,False
ThirdLove,New York City,10.0,2020-03-27,,Retail,https://www.vox.com/the- goods/2020/3/27/21195664/c oronavirus-layoffs-furlough- severance,Series B, $68.00 ,United States,False
Bcredi,Curitiba Non-U.S.,,2020-03-27,,Finance,https://layoffs.fyi/list/bcredi/,Series A,,Brazil,False
Make School,SF Bay Area,,2020-03-27,,Education,https://www.makeschool.com/ blog/a-message-of-solidarity- to-our-community,Unknown,,United States,False
Pivot3,Austin,,2020-03-27,,Infrastructu…,https://blocksandfiles.com/20 20/03/27/hci-shop-pivot3- makes-significant-layoffs/,Series H, $273.00 ,United States,False
DISCO,Austin,75.0,2020-03-27,,Legal,https://www.americaninno.co m/austin/inno-news/layoffs- at-fast-rising-austin-startup- disco/,Series E, $133.00 ,United States,False
TravelTriangle,Gurugram Non-U.S.,250.0,2020-03-28,50%,Travel,https://entrackr.com/2020/03/ exclusive-traveltriangle-lays- off-250-employees-covid- crisis/,Series D, $47.00 ,India,False
Rent the Runway,New York City,,2020-03-28,,Retail,https://www.theverge.com/20 20/3/28/21198042/rent-the- runway-lays-off-all-retail- employees-due-to- coronavirus-uncertainty,Series F, $541.00 ,United States,False
WeWork,New York City,250.0,2020-03-28,,Real Estate,https://www.reuters.com/articl e/wework-layoffs/wework- cuts-about-250-more-jobs-to- reduce-costs-source- idUSL4N2BL0DJ,Series H," $2,250.00 ",United States,False
Polarr,SF Bay Area,10.0,2020-03-29,,Consumer,https://medium.com/@derekz hyan/drawing-a-blank- 18068b4aff1d,Series A, $13.00 ,United States,False
Amplero,Seattle,17.0,2020-03-29,100%,Marketing,https://www.geekwire.com/20 20/canary-coal-mine-seattle- marketing-tech-startup- amplero-shuts-lays-off-17- employees/,Series B, $25.00 ,United States,False
ZipRecruiter,Los Angeles,400.0,2020-03-29,39%,Recruiting,https://www.wsj.com/articles/z iprecruiter-downsizes-as- employers-scale-back-hiring- 11585498957,Series B, $219.00 ,United States,False
PeerStreet,Los Angeles,51.0,2020-03-30,30%,Finance,https://layoffs.fyi/2020/03/31/ breaking-la-based-peerstreet- lays-off-50-employees/,Series C, $110.00 ,United States,False
Thumbtack,SF Bay Area,250.0,2020-03-30,30%,Consumer,https://layoffs.fyi/2020/04/06/ thumbtack-laid-off-250- employees/,Series F, $423.00 ,United States,False
RigUp,Austin,120.0,2020-03-30,25%,Energy,https://www.americaninno.co m/austin/inno-news/austin- tech-unicorn-rigup-sheds- 100-plus-jobs/,Series D, $423.00 ,United States,False
FabHotels,New Delhi Non-U.S.,80.0,2020-03-30,20%,Travel,https://entrackr.com/2020/04/ exclusive-fabhotels-lays-off- 80-employees-slashes-salary/,Series B, $48.00 ,India,False
Hibob,Tel Aviv Non-U.S.,70.0,2020-03-30,30%,HR,https://www.teamblind.com/p ost/Hibob-layoffs---70-ppl- org-wide-5BmyRsoZ,Series A, $45.00 ,Israel,False
Maven,Seattle,31.0,2020-03-30,9%,Media,https://www.businesswire.com /news/home/20200330005734 /en/Maven-Announces-Broad- Cost-Containment-Initiative- Including-9,Post-IPO, $77.00 ,United States,False
Iris Nova,New York City,9.0,2020-03-30,50%,Food,https://www.businessinsider.c om/coca-cola-backed-startup- iris-nova-layoffs-due-to- coronavirus-2020-3,Seed, $15.00 ,United States,False
Catalant,Boston,30.0,2020-03-30,,Other,https://www.americaninno.co m/boston/inno-news- boston/catalant-technologies- cuts-workforce-amid- coronavirus-uncertainty/,Series E, $110.00 ,United States,False
Starship Technologies,Tallinn Non-U.S.,30.0,2020-03-30,,Transportat…,https://digi.geenius.ee/rubriik/ uudis/karmid-numbrid- robotkullerite-tootja-starshipi- pohiari-kukkus-sisuliselt- kokku/,Series A, $82.00 ,Estonia,False
Loftsmart,New York City,25.0,2020-03-30,75%,Real Estate,https://www.linkedin.com/post s/swbernstein_founder- operator-and-investor- friends-activity- 6647864445718585344-4i-K,Series A, $18.00 ,United States,False
Caliva,SF Bay Area,20.0,2020-03-30,,Retail,https://www.businessinsider.c om/cannabis-startup-caliva- laid-off-20-corporate- employees-2020-5,Series A, $75.00 ,United States,False
Cuyana,SF Bay Area,,2020-03-30,,Retail,https://www.instagram.com/p/ B-YJi1UJVoC/,Series C, $31.00 ,United States,False
Blume Global,SF Bay Area,30.0,2020-03-30,10%,Logistics,LinkedIn,Unknown,,United States,False
Siteimprove,Minneapolis,40.0,2020-03-31,,Marketing,https://www.bizjournals.com/t wincities/news/2020/04/03/mi nnesota-tech-firms-used-to- growth-slam-on-hiring.html,Unknown, $55.00 ,United States,False
KeepTruckin,SF Bay Area,349.0,2020-03-31,18%,Logistics,https://layoffs.fyi/2020/03/31/ keeptruckin-lays-off-another- 149-employees-one-month- after-previous-layoff/,Series D, $227.00 ,United States,False
Rover,Seattle,194.0,2020-03-31,41%,Consumer,https://www.geekwire.com/20 20/pet-care-startup-rover- lays-off-41-workforce-194- employees-due-covid-19- impact/,Series G, $310.00 ,United States,False
Turo,SF Bay Area,108.0,2020-03-31,30%,Transportat…,https://layoffs.fyi/2020/04/21/ turo-laid-off-108-employees/,Series E, $467.00 ,United States,False
uShip,Austin,65.0,2020-03-31,37%,Logistics,https://www.bizjournals.com/a ustin/news/2020/03/31/austin -layoffs-rounded-up- incredibly-talented.html,Series D, $69.00 ,United States,False
SkySlope,Sacramento,50.0,2020-03-31,25%,Real Estate,https://www.bizjournals.com/s acramento/news/2020/04/03/ skyslope-said-to-cut- sacramento-staff-as- housing.html,Acquired,,United States,False
AngelList,SF Bay Area,20.0,2020-03-31,,Recruiting,https://techcrunch.com/2020/ 04/06/angellist-lays-off-a- number-of-staff-and-cuts- executive-salaries/,Series B, $26.00 ,United States,False
AdRoll,Salt Lake City,210.0,2020-03-31,30%,Marketing,https://www.adexchanger.com /online-advertising/nextroll- lays-off-30-institutes-20- paycuts/,Series C, $89.00 ,United States,False
DialSource,Sacramento,5.0,2020-03-31,14%,Marketing,Company executive,Series B, $26.00 ,United States,False
Adara,SF Bay Area,,2020-03-31,,Travel,https://www.linkedin.com/post s/hongchengmi_grateful- activity- 6650855887563030528-O3sC,Series C, $67.00 ,United States,False
Claravine,Salt Lake City,,2020-03-31,,Marketing,LinkedIn,Seed, $4.00 ,United States,False
Domio,New York City,,2020-03-31,30%,Travel,LinkedIn,Series B, $116.00 ,United States,False
Kazoo,Austin,,2020-03-31,35%,HR,https://www.americaninno.co m/austin/inno-news/austin- hr-platform-company-kazoo- lays-off-35-of-its-workforce/,Series A, $8.00 ,United States,False
Snap Finance,Salt Lake City,,2020-03-31,,Finance,LinkedIn,Unknown,,United States,False
Zerto,Boston,,2020-03-31,,Infrastructu…,https://blocksandfiles.com/20 20/03/31/zerto-makes-layoffs- to-survive-pandemic- economic-storm/,Series E, $130.00 ,United States,False
Zenoti,Seattle,17.0,2020-03-31,4%,Fitness,https://www.geekwire.com/20 20/spa-salon-software- startup-zenoti-makes-small- layoff-beauty-industry-faces- covid-19-upheaval/,Series C, $91.00 ,United States,False
Groupon,Chicago,2800.0,2020-04-13,44%,Retail,https://layoffs.fyi/2020/04/17/ groupon-laid-off-or- furloughed-2800-employees/,Post-IPO," $1,400.00 ",United States,False
Zoox,SF Bay Area,100.0,2020-04-13,10%,Transportat…,https://www.theinformation.co m/briefings/b836b8,Series B, $955.00 ,United States,False
EasyPost,SF Bay Area,50.0,2020-04-13,25%,Logistics,LinkedIn,Series A, $12.00 ,United States,False
Clearbanc,Toronto Non-U.S.,17.0,2020-04-13,8%,Finance,https://techcrunch.com/2020/ 04/13/clearbanc-cuts- number-of-staff-to-navigate- long-term-economic-impact- of-covid-19/,Series B, $119.00 ,Canada,False
Neon,Sao Paulo Non-U.S.,70.0,2020-04-13,10%,Finance,"https://link.estadao.com.br/no ticias/inovacao,neon-demite- funcionarios-e-eventbrite- fecha-operacoes-no- brasil,70003269607",Series B, $120.00 ,Brazil,False
Envoy,SF Bay Area,58.0,2020-04-14,30%,HR,https://www.forbes.com/sites/ alexandrawilson1/2020/04/15/ smart-office-startup-envoy- furloughs-and-lays-off-30-of- employees-cuts-salaries-of- others/#e0729a7b94cf,Series B, $59.00 ,United States,False
The RealReal,SF Bay Area,235.0,2020-04-14,10%,Retail,https://techcrunch.com/2020/ 04/14/the-real-real-layoffs- furloughs/,Post-IPO, $358.00 ,United States,False
TouchBistro,Toronto Non-U.S.,131.0,2020-04-14,23%,Food,https://betakit.com/touchbistr o-furloughs-131-employees- as-restaurants-hit-hard-by- covid-19-pandemic/,Series E, $224.00 ,Canada,False
VSCO,SF Bay Area,45.0,2020-04-14,35%,Consumer,https://layoffs.fyi/2020/04/15/ vsco-lays-off-45-employees- 30/,Series B, $90.00 ,United States,False
Aura Financial,SF Bay Area,,2020-04-14,,Finance,LinkedIn,Unknown, $584.00 ,United States,False
DataStax,SF Bay Area,15.0,2020-04-14,,Data,https://www.businessinsider.c om/967-million-datastax- april-layoffs-third-cuts-under- ceo-kapoor-2020-4,Series E, $190.00 ,United States,True
Xerpa,Sao Paulo Non-U.S.,10.0,2020-04-14,,HR,https://www.linkedin.com/post s/nreise_ex-xerpas- incr%C3%ADveis-e- dispon%C3%ADveis-covid- activity- 6655927070826221568-kunx/,Unknown, $5.00 ,Brazil,False
RedDoorz,Singapore Non-U.S.,,2020-04-14,,Travel,https://www.thejakartapost.co m/news/2020/04/13/budget- cuts-furloughs-inevitable-for- start-ups-to-survive- pandemic-investors.html,Series C, $134.00 ,Singapore,False
Skillz,SF Bay Area,21.0,2020-04-14,,Consumer,https://fortune.com/2020/04/ 14/coronavirus-layoffs- startup-jobs-tech-industry- covid-19-jobs/,Series D, $132.00 ,United States,False
Carta,SF Bay Area,161.0,2020-04-15,16%,Finance,https://layoffs.fyi/2020/04/22/ carta-laid-off-161-employees- citing-customer-slowdown/,Series E, $447.00 ,United States,False
Opendoor,SF Bay Area,600.0,2020-04-15,35%,Real Estate,https://layoffs.fyi/2020/04/16/ opendoor-lays-off-600- people-amid-declining-real- estate-activity/,Series E," $1,500.00 ",United States,False
GoPro,SF Bay Area,200.0,2020-04-15,20%,Consumer,https://techcrunch.com/2020/ 04/16/gopro-lays-off-200- employees-representing-20- of-the-company/,Post-IPO, $288.00 ,United States,False
Shop101,Mumbai Non-U.S.,200.0,2020-04-15,40%,Retail,https://inc42.com/buzz/exclusi ve-shop101-lays-off-200- employees-remaining-to-get- pay-cuts/,Series C, $19.00 ,India,False
Zume,SF Bay Area,200.0,2020-04-15,67%,Food,https://www.businessinsider.c om/zume-employee-layoffs- softbank-robotics-startup- zoom-2020-4,Unknown, $423.00 ,United States,False
Akulaku,Jakarta Non-U.S.,100.0,2020-04-15,,Finance,https://www.techinasia.com/in donesia-online-lenders- tighten-credit-cut-jobs,Series D, $160.00 ,Indonesia,False
Trove Recommerce,SF Bay Area,13.0,2020-04-15,,Retail,https://layoffs.fyi/2020/04/22/ trove-recommerce-laid-off- 13-employees/,Series C, $34.00 ,United States,False
Kodiak Robotics,SF Bay Area,15.0,2020-04-15,20%,Transportat…,https://www.freightwaves.com /news/kodiak-robotics-lays- of-20-of-its-staff,Series A, $40.00 ,United States,False
Tulip Retail,Toronto Non-U.S.,14.0,2020-04-15,,Retail,https://www.linkedin.com/post s/aliasaria_today-tulip-made- the-difficult-decision-to- activity- 6656277826045571072-PEPm,Series B, $51.00 ,Canada,True
Dude Solutions,Raleigh,,2020-04-15,20%,Other,https://www.linkedin.com/puls e/some-great-people- impacted-c19-ed-roshitsh/? trackingId=0DmzbwQ3O78Ob TV3BiRT9w%3D%3D,Acquired, $100.00 ,United States,False
SweetEscape,Jakarta Non-U.S.,,2020-04-15,30%,Consumer,https://dealstreetasia.com/stor ies/sweetescape-layoffs- 184295/,Series A, $7.00 ,Indonesia,False
View,SF Bay Area,,2020-04-15,,Energy,https://techcrunch.com/2020/ 04/15/view-the-dynamic- glass-company-that-raised-1- 1-billion-from-softbank-in- 2018-is-laying-people-off/,Series H," $1,800.00 ",United States,False
Parsable,SF Bay Area,40.0,2020-04-15,25%,HR,Company executive,Series C, $72.00 ,United States,False
CarGurus,Boston,130.0,2020-04-16,13%,Transportat…,https://layoffs.fyi/2020/05/04/ cargurus-laid-off-130- employees/,Post-IPO, $1.00 ,United States,False
Funding Societies,Singapore Non-U.S.,65.0,2020-04-16,18%,Finance,https://www.techinasia.com/ra ising-40m-funding-societies- streamlines-business- pandemic,Series B, $42.00 ,Singapore,False
CleverTap,Mumbai Non-U.S.,60.0,2020-04-16,20%,Marketing,https://inc42.com/buzz/startu psvscovid19-indian-startup- layoffs-pay-cut-tracker/,Series C, $76.00 ,India,False
CrowdRiff,Toronto Non-U.S.,,2020-04-16,,Marketing,LinkedIn,Series A, $11.00 ,Canada,False
Grailed,New York City,,2020-04-16,,Retail,https://layoffs.fyi/2020/04/24/ mens-clothing-marketplace- grailed-conducted-a-layoff/,Series A, $16.00 ,United States,True
LumenAd,Missoula,,2020-04-16,,Marketing,https://layoffs.fyi/list/lumenad /,Unknown,,United States,False
Purse,SF Bay Area,,2020-04-16,100%,Crypto,https://www.coindesk.com/bit coin-startup-purse-to-shut- down-after-6-year-run,Seed, $1.00 ,United States,True
SquadVoice,Columbus,,2020-04-16,,Real Estate,https://layoffs.fyi/list/squadvoi ce/,Series A, $2.00 ,United States,False
FullStory,Atlanta,,2020-04-16,,Marketing,LinkedIn,Series C, $59.00 ,United States,False
BlackBuck,Bengaluru Non-U.S.,200.0,2020-04-17,,Logistics,https://www.cnbctv18.com/sta rtup/coronavirus-effect- blackbuck-to-lay-off-over- 200-employees-ecom- express-puts-hiring-on-hold- 5704301.htm,Series D, $293.00 ,India,False
